S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
105,100.0,0.5,0.05,0.15,51,50,AAD+Bumping,8.992004415078746,0.7770831625917305,0.02754427654271252,22.66720160266587,-1.3716791000120798,65.14862666726913,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,0.5293893747294278,1.77004369544372,1.2853508247516257,6.2137120943004,9.25308848905354,2898.333535064012,5,33630,67066,2
105,100.0,0.5,0.05,0.15,51,50,Double-AAD,8.992004415078746,0.7770831625917305,0.027544276542676164,22.66720160266587,-1.367140020093847,64.89396401162767,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,0.5293893747294278,1.7700436953093912,1.2853508247516257,5.862235916232256,9.60781353329224,45732.64828789979,3,33630,67066,2
105,100.0,0.5,0.05,0.15,51,50,Edge-Pushing,8.992004415078746,0.7770831625917305,0.027544276542676164,22.66720160266587,-1.367140020093847,64.89396401162767,0.7729910302101862,0.02706521049076221,22.37954592454901,-1.2914331614681287,71.79156357228807,0.5293893747294278,1.7700436953093912,1.2853508247516257,5.862235916232256,9.60781353329224,45895.02970292233,1,33630,67066,2
105,100.0,0.5,0.05,0.2,51,50,Analytical,10.201257670827331,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,0.0,0.0,0.0,0.0,0.0,0.5094259977340698,0,0,0,0
105,100.0,0.5,0.05,0.2,51,50,Bumping,10.147871284231837,0.7414006113008236,0.021900127407905166,25.058874475615678,-0.8224863338543886,32.15565529002262,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,2.511378796407601,2.8443304872674204,0.8334136044122793,8.952493700851354,3.169203589207724,34.657270880416036,5,0,0,0
105,100.0,0.5,0.05,0.2,51,50,AAD+Bumping,10.189638726420148,0.725255513178648,0.02272239012430788,24.962881763401512,-0.7785688753345843,31.619120184768157,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,0.27904145532606056,0.8034786436797866,0.44715232746949357,3.1348692300434355,4.784879621170237,2935.9696530736983,5,33630,67066,2
105,100.0,0.5,0.05,0.2,51,50,Double-AAD,10.189638726420148,0.725255513178648,0.02272239012424939,24.962881763401512,-0.7768075426551544,31.501762275168034,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,0.27904145532606056,0.8034786434203162,0.44715232746949357,2.9015503531675257,5.138281215670217,47674.634324153885,3,33630,67066,2
105,100.0,0.5,0.05,0.2,51,50,Edge-Pushing,10.189638726420148,0.725255513178648,0.02272239012424939,24.962881763401512,-0.7768075426551544,31.501762275168034,0.723237381065062,0.02254127578734361,24.851756555546334,-0.7549036336081234,33.20808718086585,0.27904145532606056,0.8034786434203162,0.44715232746949357,2.9015503531675257,5.138281215670217,47663.22977584787,1,33630,67066,2
105,100.0,0.5,0.05,0.3,51,50,Analytical,12.798550095797282,0.6750554237552501,0.01615747575849152,26.720425535605358,-0.29005185447582704,9.775199239793965,0.6750554237552501,0.01615747575849152,26.720425535605358,-0.29005185447582704,9.775199239793965,0.0,0.0,0.0,0.0,0.0,0.45744702219963074,0,0,0,0
105,100.0,0.5,0.05,0.3,51,50,Bumping,12.761204943857937,0.688047464704135,0.015852769023106898,26.818158820987215,-0.3338929919188438,7.8709085482486785,0.6750554237552501,0.01615747575849152,26.720425535605358,-0.29005185447582704,9.775199239793965,1.9245887806680868,1.8858560578343138,0.36576245857920797,15.114930922350126,19.480837626235676,74.14174312725663,5,0,0,0
